PARTICIPANT BLOCK TRIAL EXTRACT TYPE RESPONSE
c6 main 24 KPS aligned aligned
c6 main 25 HSG phase-click-late15 misaligned
c6 main 26 HSG aligned aligned
c6 main 27 ACL phase-click-early10 misaligned
c6 main 28 SMA phase-click-late10 misaligned
c6 main 29 ACL phase-click-early15 misaligned
c6 main 30 SMA phase-click-early10 aligned
c6 main 31 HSG phase-click-early10 aligned
c6 main 32 ACL aligned aligned
c6 main 33 ACL phase-click-late15 misaligned
c6 main 34 HTH aligned aligned
c6 main 35 SMA aligned misaligned
c6 main 36 KPS aligned aligned
c6 main 37 SMA aligned aligned
c6 main 38 HTH phase-click-late10 misaligned
c6 main 39 KPS phase-click-late15 misaligned
c6 main 40 HSG phase-click-early15 misaligned
c7 train 1 OCJ phase-click-early15 misaligned
c7 train 2 OCJ aligned aligned
c7 train 3 NYN phase-click-late15 misaligned
c7 train 4 NYN aligned misaligned
c7 main 1 HSG aligned aligned
c7 main 2 HTH aligned aligned
c7 main 3 HTH phase-click-early15 misaligned
c7 main 4 ACL phase-click-early15 misaligned
c7 main 5 KPS aligned aligned
c7 main 6 SMA phase-click-late15 misaligned
c7 main 7 HSG aligned aligned
c7 main 8 KPS aligned aligned
c7 main 9 ACL phase-click-early10 misaligned
c7 main 10 KPS aligned aligned
c7 main 11 HTH aligned aligned
c7 main 12 HTH aligned aligned
c7 main 13 SMA phase-click-early15 misaligned
c7 main 14 HTH phase-click-late10 misaligned
c7 main 15 ACL aligned aligned
c7 main 16 KPS phase-click-late15 misaligned
c7 main 17 ACL aligned aligned
c7 main 18 SMA aligned aligned
c7 main 19 HTH phase-click-early10 misaligned
c7 main 20 SMA aligned aligned
c7 main 21 ACL phase-click-late10 misaligned
c7 main 22 KPS aligned aligned
c7 main 23 HTH phase-click-late15 misaligned
c7 main 24 HSG aligned aligned
c7 main 25 ACL aligned aligned
c7 main 26 SMA phase-click-late10 misaligned
c7 main 27 HSG phase-click-late10 misaligned
c7 main 28 ACL aligned aligned
c7 main 29 HSG phase-click-early10 misaligned
c7 main 30 SMA phase-click-early10 misaligned
c7 main 31 HSG phase-click-late15 misaligned
c7 main 32 ACL phase-click-late15 misaligned
c7 main 33 KPS phase-click-early10 misaligned
c7 main 34 KPS phase-click-early15 misaligned
c7 main 35 HSG aligned aligned
c7 main 36 HTH aligned aligned
c7 main 37 SMA aligned aligned
c7 main 38 SMA aligned aligned
c7 main 39 HSG phase-click-early15 misaligned
c7 main 40 KPS phase-click-late10 misaligned
c8 train 1 NYN phase-click-late15 misaligned
c8 train 2 NYN aligned aligned
c8 train 3 OCJ phase-click-early15 misaligned
c8 train 4 OCJ aligned aligned
c8 main 1 SMA aligned aligned
c8 main 2 SMA phase-click-late10 misaligned
c8 main 3 ACL aligned aligned
c8 main 4 KPS aligned aligned
c8 main 5 HSG phase-click-early15 misaligned
c8 main 6 SMA phase-click-late15 misaligned
c8 main 7 HSG phase-click-late10 aligned
c8 main 8 KPS aligned aligned
c8 main 9 SMA phase-click-early15 misaligned
c8 main 10 HSG aligned aligned
c8 main 11 HSG phase-click-early10 misaligned
c8 main 12 ACL aligned aligned
c8 main 13 HSG aligned aligned
c8 main 14 HTH phase-click-late10 misaligned
c8 main 15 HSG aligned aligned
c8 main 16 SMA aligned misaligned
c8 main 17 KPS phase-click-late15 misaligned
c8 main 18 ACL phase-click-early15 misaligned
c8 main 19 HTH aligned aligned
c8 main 20 KPS phase-click-late10 misaligned
c8 main 21 SMA aligned aligned
c8 main 22 KPS aligned aligned
c8 main 23 KPS phase-click-early15 misaligned
c8 main 24 ACL phase-click-early10 aligned
c8 main 25 HTH aligned aligned
c8 main 26 HSG phase-click-late15 misaligned
c8 main 27 ACL phase-click-late10 misaligned
c8 main 28 HTH phase-click-early15 misaligned
c8 main 29 HTH phase-click-early10 misaligned
c8 main 30 ACL aligned misaligned
c8 main 31 HTH aligned aligned
c8 main 32 KPS aligned aligned
c8 main 33 SMA aligned aligned
c8 main 34 KPS phase-click-early10 misaligned
c8 main 35 HTH aligned aligned
c8 main 36 SMA phase-click-early10 misaligned
c8 main 37 ACL aligned aligned
c8 main 38 HTH phase-click-late15 misaligned
c8 main 39 ACL phase-click-late15 misaligned
c8 main 40 HSG aligned aligned
c9 train 1 NYN aligned aligned
c9 train 2 NYN phase-click-late15 misaligned
c9 train 3 OCJ aligned aligned
c9 train 4 OCJ phase-click-early15 misaligned
c9 main 1 HSG phase-click-early10 misaligned
c9 main 2 ACL phase-click-late10 misaligned
c9 main 3 SMA phase-click-early15 misaligned
c9 main 4 HTH aligned aligned
c9 main 5 HTH phase-click-early10 misaligned
c9 main 6 SMA phase-click-late10 misaligned
c9 main 7 HSG aligned aligned
c9 main 8 SMA phase-click-late15 misaligned
c9 main 9 HSG aligned misaligned
c9 main 10 HSG aligned aligned
c9 main 11 HTH aligned misaligned
